4310405EX;2022-06
ContaContabil;InformacaoComplementar1;TipoInformacaoComplementar1;InformacaoComplementar2;TipoInformacaoComplementar2;InformacaoComplementar3;TipoInformacaoComplementar3;InformacaoComplementar4;TipoInformacaoComplementar4;InformacaoComplementar5;TipoInformacaoComplementar5;InformacaoComplementar6;TipoInformacaoComplementar6;Valor;TipoValor;NaturezaValor
111110100;10131;PO;1;FP;1500;FR;;;;;;;2533.1;period_change;C
111110100;10131;PO;1;FP;1500;FR;;;;;;;2533.1;period_change;D
111110603;10132;PO;1;FP;1800;FR;;;;;;;635400.18;period_change;C
111110603;10132;PO;1;FP;1800;FR;;;;;;;635400.18;period_change;D
111110604;10132;PO;1;FP;1800;FR;;;;;;;14660.66;period_change;C
111110604;10132;PO;1;FP;1800;FR;;;;;;;14660.66;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;59.93;ending_balance;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;2876209.17;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;2876269.1;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;1082514.38;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;1082514.38;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;6657.01;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;6657.01;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;24785.04;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;24785.04;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;1997.16;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;1997.16;period_change;D
111111900;10131;PO;1;FP;1500;FR;1002;CO;;;;;181598.51;period_change;C
111111900;10131;PO;1;FP;1500;FR;1002;CO;;;;;181598.51;period_change;D
111111900;10131;PO;1;FP;1500;FR;1001;CO;;;;;118492.56;period_change;C
111111900;10131;PO;1;FP;1500;FR;1001;CO;;;;;118492.56;period_change;D
111111900;10131;PO;1;FP;1553;FR;;;;;;;17238.92;period_change;C
111111900;10131;PO;1;FP;1553;FR;;;;;;;17238.92;period_change;D
111111900;10131;PO;1;FP;1550;FR;;;;;;;55703.37;period_change;C
111111900;10131;PO;1;FP;1550;FR;;;;;;;55703.37;period_change;D
111111900;10131;PO;1;FP;1540;FR;1070;CO;;;;;822151.98;period_change;C
111111900;10131;PO;1;FP;1540;FR;1070;CO;;;;;822151.98;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;6000;period_change;C
111111900;10131;PO;1;FP;1600;FR;;;;;;;6000;period_change;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;22.4;beginning_balance;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;4367.6;period_change;C
111111900;10131;PO;1;FP;1552;FR;;;;;;;4345.2;period_change;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;3595.25;period_change;C
111111900;10131;PO;1;FP;1552;FR;;;;;;;3595.25;period_change;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;2044.6;period_change;C
111111900;10131;PO;1;FP;1552;FR;;;;;;;2044.6;period_change;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;160;period_change;C
111111900;10131;PO;1;FP;1552;FR;;;;;;;160;period_change;D
111111900;10131;PO;1;FP;1037;FR;;;;;;;1430;period_change;C
111111900;10131;PO;1;FP;1037;FR;;;;;;;1430;period_change;D
111111900;10131;PO;1;FP;1601;FR;;;;;;;198566;period_change;C
111111900;10131;PO;1;FP;1601;FR;;;;;;;198566;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;15006.15;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;15006.15;period_change;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;106;ending_balance;D
111111900;10131;PO;1;FP;1552;FR;;;;;;;106;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;80000;period_change;C
111111900;10131;PO;1;FP;1600;FR;;;;;;;80000;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;12212.64;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;12212.64;period_change;D
111111900;10131;PO;1;FP;1660;FR;;;;;;;3566.34;period_change;C
111111900;10131;PO;1;FP;1660;FR;;;;;;;3566.34;period_change;D
111111900;10131;PO;1;FP;1660;FR;;;;;;;6323.52;period_change;C
111111900;10131;PO;1;FP;1660;FR;;;;;;;6323.52;period_change;D
111111900;10131;PO;1;FP;1660;FR;;;;;;;230.4;period_change;C
111111900;10131;PO;1;FP;1660;FR;;;;;;;230.4;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;214573.95;period_change;C
111111900;10131;PO;1;FP;1600;FR;;;;;;;214573.95;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;16890.45;period_change;C
111111900;10131;PO;1;FP;1600;FR;;;;;;;16890.45;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;10269.46;period_change;C
111111900;10131;PO;1;FP;1600;FR;;;;;;;10269.46;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;735.83;period_change;C
111111900;10131;PO;1;FP;1600;FR;;;;;;;735.83;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;3192.18;beginning_balance;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;3724.21;ending_balance;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;532.03;period_change;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;14544;beginning_balance;D
111111900;10131;PO;1;FP;1600;FR;;;;;;;14544;ending_balance;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;417412.5;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;417412.5;period_change;D
111111900;10131;PO;1;FP;1500;FR;1002;CO;;;;;351837.92;period_change;C
111111900;10131;PO;1;FP;1500;FR;1002;CO;;;;;351837.92;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;3657533.3;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;3657533.3;period_change;D
111111900;10131;PO;1;FP;1752;FR;;;;;;;35.11;beginning_balance;D
111111900;10131;PO;1;FP;1752;FR;;;;;;;50.48;ending_balance;D
111111900;10131;PO;1;FP;1752;FR;;;;;;;15.37;period_change;D
111111900;20231;PO;1;FP;1500;FR;;;;;;;235176.58;period_change;C
111111900;20231;PO;1;FP;1500;FR;;;;;;;235176.58;period_change;D
111111900;10131;PO;1;FP;1571;FR;;;;;;;63176.16;period_change;C
111111900;10131;PO;1;FP;1571;FR;;;;;;;63176.16;period_change;D
111111900;10131;PO;1;FP;1500;FR;1001;CO;;;;;246673.32;period_change;C
111111900;10131;PO;1;FP;1500;FR;1001;CO;;;;;246673.32;period_change;D
111111900;10131;PO;1;FP;1701;FR;;;;;;;7720.34;period_change;C
111111900;10131;PO;1;FP;1701;FR;;;;;;;7720.34;period_change;D
111111900;10131;PO;1;FP;1621;FR;;;;;;;1320.62;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;1320.62;period_change;D
111111900;10131;PO;1;FP;1632;FR;;;;;;;89.29;beginning_balance;D
111111900;10131;PO;1;FP;1632;FR;;;;;;;89.29;ending_balance;D
111111900;10131;PO;1;FP;1621;FR;;;;;;;12692;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;12692;period_change;D
111111900;10131;PO;1;FP;1213;FR;;;;;;;100000;period_change;C
111111900;10131;PO;1;FP;1213;FR;;;;;;;100000;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;25000;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;25000;period_change;D
111111900;10131;PO;1;FP;1799;FR;;;;;;;810;period_change;C
111111900;10131;PO;1;FP;1799;FR;;;;;;;810;period_change;D
111111900;10131;PO;1;FP;1665;FR;;;;;;;1875.1;beginning_balance;D
111111900;10131;PO;1;FP;1665;FR;;;;;;;1875.1;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;31678.94;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;31678.94;period_change;D
111111900;10131;PO;1;FP;1621;FR;;;;;;;20140.16;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;20140.16;period_change;D
111111900;10131;PO;1;FP;1621;FR;;;;;;;4705;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;4705;period_change;D
111111900;10131;PO;1;FP;1621;FR;;;;;;;1687;period_change;C
111111900;10131;PO;1;FP;1621;FR;;;;;;;1687;period_change;D
111111900;10131;PO;1;FP;1500;FR;;;;;;;374145.71;period_change;C
111111900;10131;PO;1;FP;1500;FR;;;;;;;374145.71;period_change;D
111113000;10131;PO;1;FP;1500;FR;;;;;;;381059.7;period_change;C
111113000;10131;PO;1;FP;1500;FR;;;;;;;381059.7;period_change;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;68.15;beginning_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;1059.84;ending_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;1305.45;period_change;C
111115000;10131;PO;1;FP;1552;FR;;;;;;;2297.14;period_change;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;4755222.82;beginning_balance;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;3935320.74;ending_balance;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;1786409.39;period_change;C
111115000;10131;PO;1;FP;1500;FR;;;;;;;966507.31;period_change;D
111115000;10131;PO;1;FP;1550;FR;;;;;;;24417.28;beginning_balance;D
111115000;10131;PO;1;FP;1550;FR;;;;;;;21765.02;ending_balance;D
111115000;10131;PO;1;FP;1550;FR;;;;;;;29252.56;period_change;C
111115000;10131;PO;1;FP;1550;FR;;;;;;;26600.3;period_change;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;849682.55;beginning_balance;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;988051.16;ending_balance;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;1384231.37;period_change;C
111115000;10131;PO;1;FP;1500;FR;;;;;;;1522599.98;period_change;D
111115000;10131;PO;1;FP;1540;FR;1070;CO;;;;;240720.06;beginning_balance;D
111115000;10131;PO;1;FP;1540;FR;1070;CO;;;;;179315.65;ending_balance;D
111115000;10131;PO;1;FP;1540;FR;1070;CO;;;;;438658.6;period_change;C
111115000;10131;PO;1;FP;1540;FR;1070;CO;;;;;377254.19;period_change;D
111115000;10131;PO;1;FP;1571;FR;;;;;;;411.48;beginning_balance;D
111115000;10131;PO;1;FP;1571;FR;;;;;;;118.64;ending_balance;D
111115000;10131;PO;1;FP;1571;FR;;;;;;;30390.14;period_change;C
111115000;10131;PO;1;FP;1571;FR;;;;;;;30097.3;period_change;D
111115000;10131;PO;1;FP;1553;FR;;;;;;;14955.31;beginning_balance;D
111115000;10131;PO;1;FP;1553;FR;;;;;;;5122.75;ending_balance;D
111115000;10131;PO;1;FP;1553;FR;;;;;;;13553.76;period_change;C
111115000;10131;PO;1;FP;1553;FR;;;;;;;3721.2;period_change;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;1680.91;ending_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;1350;period_change;C
111115000;10131;PO;1;FP;1552;FR;;;;;;;3030.91;period_change;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;193.14;beginning_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;2252.69;ending_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;2059.55;period_change;D
111115000;10131;PO;1;FP;1600;FR;;;;;;;59364.99;beginning_balance;D
111115000;10131;PO;1;FP;1600;FR;;;;;;;65878.54;ending_balance;D
111115000;10131;PO;1;FP;1600;FR;;;;;;;6513.55;period_change;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;2201038.3;beginning_balance;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;2527147.53;ending_balance;D
111115000;10131;PO;1;FP;1500;FR;;;;;;;326109.23;period_change;D
111115000;20231;PO;1;FP;1500;FR;;;;;;;135499.64;beginning_balance;D
111115000;20231;PO;1;FP;1500;FR;;;;;;;152324.76;ending_balance;D
111115000;20231;PO;1;FP;1500;FR;;;;;;;110176.58;period_change;C
111115000;20231;PO;1;FP;1500;FR;;;;;;;127001.7;period_change;D
111115000;10131;PO;1;FP;1704;FR;;;;;;;209198.41;beginning_balance;D
111115000;10131;PO;1;FP;1704;FR;;;;;;;210849.21;ending_balance;D
111115000;10131;PO;1;FP;1704;FR;;;;;;;1650.8;period_change;D
111115000;10131;PO;1;FP;1701;FR;;;;;;;8497.35;beginning_balance;D
111115000;10131;PO;1;FP;1701;FR;;;;;;;12887.44;ending_balance;D
111115000;10131;PO;1;FP;1701;FR;;;;;;;1720.34;period_change;C
111115000;10131;PO;1;FP;1701;FR;;;;;;;6110.43;period_change;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;24420.38;beginning_balance;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;25993.71;ending_balance;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;1573.33;period_change;D
111115000;10131;PO;1;FP;1632;FR;;;;;;;27010.6;beginning_balance;D
111115000;10131;PO;1;FP;1632;FR;;;;;;;27285.1;ending_balance;D
111115000;10131;PO;1;FP;1632;FR;;;;;;;274.5;period_change;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;6447.43;beginning_balance;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;6506.3;ending_balance;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;58.87;period_change;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;7600.25;beginning_balance;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;7677.49;ending_balance;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;77.24;period_change;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;650.85;beginning_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;817.51;ending_balance;D
111115000;10131;PO;1;FP;1552;FR;;;;;;;166.66;period_change;D
111115000;10131;PO;1;FP;1799;FR;;;;;;;44296.95;beginning_balance;D
111115000;10131;PO;1;FP;1799;FR;;;;;;;45557.17;ending_balance;D
111115000;10131;PO;1;FP;1799;FR;;;;;;;1260.22;period_change;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;7413.24;beginning_balance;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;7481.3;ending_balance;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;68.06;period_change;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;31658.19;beginning_balance;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;31929.91;ending_balance;D
111115000;10131;PO;1;FP;1601;FR;;;;;;;271.72;period_change;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;49486.6;beginning_balance;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;49958.56;ending_balance;D
111115000;10131;PO;1;FP;1621;FR;;;;;;;471.96;period_change;D
111115000;10131;PO;1;FP;1600;FR;;;;;;;11340.06;beginning_balance;D
111115000;10131;PO;1;FP;1600;FR;;;;;;;11445.78;ending_balance;D
